Date,Output (MW),Heat Rate (btu/Kwh),Compressor Efficiency,Availability,Reliability,Fired Hours,Trips,Starts
4-Mar-16,153.50,9682.08,90.97,96.52,98.81,18.59,1,8
5-Mar-16,151.36,9643.35,89.42,99.85,98.82,17.25,1,6
6-Mar-16,152.84,9693.13,90.96,96.21,98.14,18.05,1,3
7-Mar-16,151.95,9761.54,90.08,98.05,98.82,18.83,0,10
8-Mar-16,151.22,9752.11,91.53,96.25,97.51,18.27,0,7
9-Mar-16,150.26,9748.29,87.98,98.03,99.80,16.06,0,5
10-Mar-16,152.52,9847.36,87.62,96.37,98.42,15.07,1,8
11-Mar-16,152.05,9756.15,88.41,96.17,97.46,16.91,1,7
12-Mar-16,150.98,9854.79,89.67,99.82,98.86,16.18,1,1
13-Mar-16,154.22,9853.81,89.56,97.76,98.74,18.78,1,7
14-Mar-16,154.69,9833.32,87.20,97.29,96.80,17.57,0,4
15-Mar-16,154.71,9782.32,90.07,98.14,99.60,18.05,0,8
16-Mar-16,150.27,9777.04,87.01,96.76,96.14,18.08,1,6
17-Mar-16,154.95,9765.25,87.40,98.28,97.83,18.22,0,9
18-Mar-16,152.41,9742.49,87.24,99.31,97.21,15.62,1,2
19-Mar-16,150.23,9649.64,88.50,97.88,96.50,16.08,0,9
20-Mar-16,151.61,9859.47,89.91,96.64,97.73,16.34,1,5
21-Mar-16,151.26,9655.31,90.51,99.77,98.08,15.31,0,6
22-Mar-16,152.19,9648.63,87.63,97.93,96.74,16.45,1,6
23-Mar-16,151.62,9829.17,88.80,97.56,98.73,16.29,1,9
24-Mar-16,154.22,9646.44,88.37,97.09,96.43,16.64,1,1
25-Mar-16,150.94,9834.88,89.70,99.72,97.75,15.30,0,4
26-Mar-16,151.28,9700.39,90.23,97.48,99.29,17.82,1,0
27-Mar-16,154.95,9644.26,90.47,99.82,98.36,18.53,0,1
28-Mar-16,152.73,9705.64,90.87,97.93,99.63,17.32,0,2
29-Mar-16,152.69,9828.32,87.69,98.85,98.91,16.48,0,8
30-Mar-16,150.87,9716.17,89.81,96.05,99.75,17.97,0,5
31-Mar-16,153.76,9688.05,87.67,97.70,96.75,17.47,1,10
1-Apr-16,152.09,9823.74,87.08,98.35,99.52,18.99,0,9
2-Apr-16,153.96,9651.32,90.76,97.81,97.05,17.28,1,5
3-Apr-16,154.92,9733.20,90.05,98.46,98.88,18.09,0,9
4-Apr-16,153.44,9738.37,91.77,98.39,99.55,18.41,0,9
5-Apr-16,154.86,9681.86,90.48,97.94,98.01,16.54,1,5
6-Apr-16,154.98,9662.13,89.07,97.31,97.36,17.24,1,7
7-Apr-16,150.45,9845.42,88.63,98.22,96.40,15.29,1,4
8-Apr-16,154.47,9685.89,87.16,98.51,97.67,15.07,0,10
9-Apr-16,150.43,9700.28,89.23,98.98,99.13,16.74,0,1
10-Apr-16,152.81,9740.86,91.15,96.17,97.52,16.16,0,2
11-Apr-16,153.66,9844.09,91.11,99.59,97.10,15.22,1,2
12-Apr-16,152.46,9841.57,89.66,97.57,97.21,15.26,0,8
13-Apr-16,152.89,9837.83,89.92,98.45,99.70,17.61,0,10
14-Apr-16,151.38,9758.38,87.51,98.51,98.63,18.15,0,9
15-Apr-16,151.22,9804.44,89.19,96.80,99.43,18.01,1,2
16-Apr-16,152.80,9637.30,87.89,97.93,96.83,17.01,1,2
17-Apr-16,154.78,9799.10,88.34,96.08,99.38,15.28,0,9
18-Apr-16,154.75,9788.03,87.60,99.76,96.35,15.36,0,5
19-Apr-16,152.06,9733.04,91.81,98.38,98.49,18.05,0,1
20-Apr-16,150.93,9657.81,89.59,99.46,96.64,17.42,1,2
21-Apr-16,153.34,9764.18,91.85,98.33,96.55,18.78,0,6
22-Apr-16,154.53,9759.30,90.32,97.00,99.48,18.94,1,2
23-Apr-16,153.62,9642.48,90.60,97.70,97.64,16.47,0,9
24-Apr-16,153.44,9721.68,89.52,96.44,98.03,18.16,1,10
25-Apr-16,151.97,9664.36,87.42,96.52,99.14,17.62,1,5
26-Apr-16,150.63,9841.27,90.49,98.12,98.07,18.74,0,9
27-Apr-16,150.67,9663.93,91.27,97.25,97.54,18.25,1,9
28-Apr-16,150.54,9719.98,90.00,98.49,98.97,18.31,0,1
29-Apr-16,151.41,9740.19,87.93,97.70,97.43,15.06,0,10
30-Apr-16,151.31,9747.62,89.24,98.92,96.82,16.63,1,1
1-May-16,153.80,9718.93,90.11,96.87,99.78,18.31,1,3
2-May-16,152.17,9821.89,89.01,98.17,96.92,15.07,1,2
3-May-16,151.07,9763.16,88.65,97.27,99.64,16.74,1,3
4-May-16,152.97,9781.04,87.26,99.05,99.52,17.86,0,6
5-May-16,154.89,9664.58,89.54,99.05,97.97,18.86,1,9
6-May-16,153.51,9851.17,89.73,96.98,97.48,18.56,0,9
7-May-16,154.52,9755.97,91.54,97.13,97.67,17.30,1,3
8-May-16,150.73,9670.01,90.73,97.39,96.94,16.30,0,8
9-May-16,152.59,9664.91,91.17,96.49,96.95,18.12,0,3
10-May-16,154.69,9651.61,91.05,98.98,99.64,16.23,1,4
11-May-16,154.85,9652.65,90.00,96.12,99.22,17.59,0,0
12-May-16,153.08,9636.55,90.87,98.05,98.89,16.47,0,2
13-May-16,150.35,9740.83,88.57,97.52,96.62,18.53,0,8
14-May-16,151.58,9784.44,91.37,96.45,96.05,17.22,1,5
15-May-16,151.60,9674.14,87.02,98.76,97.10,16.42,0,1
16-May-16,153.63,9746.89,90.21,98.07,98.87,17.42,0,9
17-May-16,154.87,9850.31,89.36,98.73,97.47,16.40,1,3
18-May-16,152.90,9748.22,87.67,96.98,96.65,17.45,1,5
19-May-16,152.72,9638.83,90.00,99.32,99.79,17.16,0,7
20-May-16,151.96,9757.49,87.71,99.41,99.19,15.07,0,7
21-May-16,153.42,9809.59,90.74,98.18,97.76,15.66,1,8
22-May-16,153.75,9717.31,89.55,98.11,97.84,17.70,1,3
23-May-16,154.44,9631.80,90.64,97.79,99.06,15.35,0,10
24-May-16,150.09,9826.17,89.68,97.58,98.73,18.59,1,5
25-May-16,154.12,9806.35,90.58,96.80,96.42,18.19,1,5
26-May-16,154.40,9740.69,89.11,97.72,100.00,16.12,0,9
27-May-16,152.01,9827.55,89.26,97.86,99.06,17.97,0,5
28-May-16,152.10,9689.23,90.29,99.11,96.07,15.58,1,5
29-May-16,153.88,9652.67,89.91,99.40,96.08,15.38,1,9
30-May-16,152.19,9658.01,89.28,99.17,98.48,17.04,1,6
31-May-16,150.62,9750.50,91.69,96.06,98.91,18.75,1,8
1-Jun-16,150.84,9796.31,88.85,97.91,96.75,15.15,1,1
